x,rho
-2.989448462115529,0.09156465802249414
-2.98744816204051,0.09159308288208182
-2.985447861965491,0.09162153054470387
-2.9834475618904728,0.09165000104177688
-2.981447261815454,0.09167849440478038
-2.979446961740435,0.09170701066525712
-2.9774466616654163,0.09173554985481328
-2.9754463615903974,0.09176411200511851
-2.973446061515379,0.09179269714790622
-2.97144576144036,0.09182130531497372
-2.9694454613653414,0.09184993653818234
-2.9674451612903225,0.09187859084945763
-2.9654448612153037,0.09190726828078959
-2.963444561140285,0.09193596886423272
-2.9614442610652665,0.09196469263190632
-2.9594439609902476,0.09199343961599458
-2.957443660915229,0.09202220984874683
-2.95544336084021,0.09205100336247758
-2.953443060765191,0.09207982018956687
-2.9514427606901728,0.09210866036246029
-2.949442460615154,0.09213752391366926
-2.947442160540135,0.09216641087577121
-2.9454418604651162,0.09219532128140963
-2.9434415603900974,0.09222425516329441
-2.9414412603150786,0.09225321255420194
-2.93944096024006,0.09228219348697524
-2.9374406601650414,0.09231119799452427
-2.9354403600900225,0.092340226109826
-2.9334400600150037,0.09236927786592466
-2.931439759939985,0.09239835329593186
-2.9294394598649665,0.09242745243302682
-2.9274391597899476,0.09245657531045652
-2.925438859714929,0.09248572196153593
-2.92343855963991,0.09251489241964815
-2.921438259564891,0.09254408671824461
-2.9194379594898723,0.09257330489084528
-2.917437659414854,0.0926025469710388
-2.915437359339835,0.09263181299248273
-2.913437059264816,0.0926611029889037
-2.9114367591897974,0.0926904169940976
-2.9094364591147786,0.09271975504192978
-2.90743615903976,0.09274911716633523
-2.9054358589647413,0.09277850340131881
-2.9034355588897225,0.09280791378095535
-2.9014352588147037,0.09283734833938996
-2.899434958739685,0.09286680711083811
-2.897434658664666,0.09289629012958593
-2.8954343585896476,0.09292579742999026
-2.8934340585146288,0.09295532904647903
-2.89143375843961,0.0929848850135513
-2.889433458364591,0.09301446536577752
-2.8874331582895723,0.09304407013779972
-2.8854328582145534,0.09307369936433174
-2.883432558139535,0.09310335308015934
-2.881432258064516,0.09313303132014047
-2.8794319579894974,0.09316273411920549
-2.8774316579144785,0.09319246151235727
-2.8754313578394597,0.09322221353467146
-2.8734310577644413,0.09325199022129674
-2.8714307576894225,0.09328179160745491
-2.8694304576144036,0.09331161772844114
-2.867430157539385,0.09334146861962422
-2.865429857464366,0.09337134431644671
-2.863429557389347,0.09340124485442514
-2.8614292573143287,0.09343117026915022
-2.85942895723931,0.09346112059628711
-2.857428657164291,0.09349109587157554
-2.8554283570892722,0.09352109613083007
-2.8534280570142534,0.09355112140994025
-2.851427756939235,0.0935811717448709
-2.849427456864216,0.09361124717166226
-2.8474271567891973,0.09364134772643022
-2.8454268567141785,0.09367147344536653
-2.8434265566391597,0.09370162436473903
-2.841426256564141,0.09373180052089182
-2.8394259564891224,0.09376200195024549
-2.8374256564141036,0.09379222868929742
-2.8354253563390848,0.09382248077462181
-2.833425056264066,0.0938527582428701
-2.831424756189047,0.093883061130771
-2.8294244561140287,0.09391338947513085
-2.82742415603901,0.09394374331283381
-2.825423855963991,0.09397412268084199
-2.823423555888972,0.09400452761619577
-2.8214232558139534,0.09403495815601397
-2.8194229557389345,0.09406541433749409
-2.817422655663916,0.09409589619791252
-2.8154223555888973,0.09412640377462475
-2.8134220555138785,0.09415693710506569
-2.8114217554388596,0.09418749622674971
-2.809421455363841,0.09421808117727103
-2.8074211552888224,0.09424869199430386
-2.8054208552138036,0.09427932871560267
-2.8034205551387847,0.09430999137900241
-2.801420255063766,0.09434068002241867
-2.799419954988747,0.09437139468384806
-2.7974196549137282,0.09440213540136826
-2.79541935483871,0.09443290221313835
-2.793419054763691,0.09446369515739908
-2.791418754688672,0.09449451427247299
-2.7894184546136533,0.09452535959676474
-2.7874181545386345,0.09455623116876131
-2.785417854463616,0.09458712902703217
-2.7834175543885973,0.09461805321022967
-2.7814172543135784,0.09464900375708911
-2.7794169542385596,0.09467998070642908
-2.7774166541635408,0.09471098409715165
-2.775416354088522,0.09474201396824267
